Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
0.8630844,-0.0257083,0.0671014,0.4999218,-1.011,0.476,-288.085,0.7237851,0.0212297,-0.0120898,-0.6895929,8.829,4.625,-161.771
0.8623042,-0.0256089,0.0671842,0.5012603,-1.026,0.457,-288.093,0.7238023,0.0212589,-0.0121021,-0.6895737,8.835,4.626,-161.77
0.8625676,-0.025483,0.0671821,0.5008137,-1.032,0.493,-288.12,0.724132,0.021319,-0.0120697,-0.6892262,8.838,4.638,-161.771
0.8626479,-0.0252333,0.0673144,0.5006702,-1.09,0.531,-288.144,0.7242361,0.0212423,-0.0120555,-0.6891194,8.83,4.634,-161.769
0.8622905,-0.0251989,0.0672939,0.5012899,-1.073,0.534,-288.119,0.7242407,0.0212095,-0.0120473,-0.6891157,8.826,4.632,-161.77
0.8619104,-0.0251434,0.0672598,0.5019506,-1.05,0.537,-288.115,0.7241231,0.0212923,-0.0119878,-0.6892377,8.829,4.644,-161.769
0.8616021,-0.0251826,0.0673322,0.5024679,-1.051,0.515,-288.115,0.724204,0.0212444,-0.0120426,-0.6891533,8.831,4.638,-161.764
0.8608005,-0.0249278,0.0674941,0.503831,-1.086,0.517,-288.116,0.7241345,0.0212041,-0.0120647,-0.6892271,8.829,4.63,-161.763
0.8600253,-0.0249129,0.0674391,0.5051612,-1.035,0.503,-288.13,0.7242594,0.02119,-0.0120648,-0.6890963,8.828,4.629,-161.767
0.8610479,-0.0250099,0.0673801,0.5034193,-1.047,0.52,-288.089,0.724492,0.0211889,-0.0120683,-0.6888518,8.829,4.631,-161.766
0.8614096,-0.0250165,0.0675541,0.5027764,-1.093,0.511,-288.089,0.7247291,0.0211876,-0.0120721,-0.6886023,8.83,4.633,-161.765
0.8603199,-0.0248233,0.0676052,0.5046415,-1.09,0.514,-288.096,0.7243054,0.0212024,-0.0120695,-0.6890476,8.828,4.63,-161.768
0.8605728,-0.0249078,0.0676562,0.504199,-1.091,0.496,-288.107,0.7241487,0.0212677,-0.0120307,-0.6892109,8.83,4.636,-161.771
0.8610068,-0.0251441,0.0673536,0.5034865,-1.04,0.485,-288.084,0.7240276,0.021328,-0.0119879,-0.689337,8.833,4.643,-161.771
0.8621156,-0.0251494,0.0673834,0.5015812,-1.073,0.516,-288.112,0.7239542,0.0212705,-0.0120233,-0.6894152,8.83,4.635,-161.779
0.8642515,-0.0253965,0.0672372,0.4978992,-1.11,0.532,-288.087,0.7238878,0.0213333,-0.0120201,-0.6894831,8.836,4.639,-161.778
0.863545,-0.0254171,0.0670919,0.499142,-1.041,0.525,-288.06,0.7239791,0.0213756,-0.0119679,-0.6893868,8.838,4.647,-161.78
0.862783,-0.025218,0.067155,0.5004595,-1.048,0.539,-288.075,0.7241881,0.0213451,-0.0119594,-0.6891683,8.837,4.647,-161.785
0.8625107,-0.0253047,0.0673472,0.5008986,-1.065,0.489,-288.103,0.7239639,0.021314,-0.0120335,-0.6894035,8.838,4.637,-161.781
0.8622437,-0.0253931,0.0672752,0.5013632,-1.039,0.47,-288.119,0.7241303,0.0213836,-0.0120096,-0.6892269,8.843,4.644,-161.784
0.8618738,-0.0252878,0.0673795,0.50199,-1.065,0.473,-288.105,0.7239844,0.0213599,-0.0120058,-0.689381,8.841,4.64,-161.783
0.8616354,-0.0251471,0.0671578,0.502436,-1.022,0.515,-288.108,0.7237812,0.0213489,-0.0120033,-0.6895948,8.839,4.636,-161.787
0.8614201,-0.0251021,0.0672036,0.5028011,-1.017,0.514,-288.103,0.7241998,0.0213739,-0.0120448,-0.6891536,8.843,4.635,-161.788
0.8617079,-0.0251699,0.0671898,0.5023061,-1.027,0.51,-288.116,0.7242076,0.0213238,-0.0121125,-0.6891458,8.845,4.622,-161.782
0.8612933,-0.0250133,0.0673657,0.503001,-1.067,0.511,-288.133,0.7241008,0.0212981,-0.0121332,-0.6892584,8.843,4.614,-161.783
0.860821,-0.0250305,0.0672411,0.5038246,-1.018,0.507,-288.147,0.7241656,0.0212898,-0.0120962,-0.6891913,8.84,4.615,-161.779
0.8611158,-0.0251903,0.0672521,0.5033111,-1.001,0.477,-288.143,0.7241159,0.02133,-0.0121146,-0.6892419,8.841,4.612,-161.777
0.861548,-0.0251055,0.0673337,0.5025644,-1.057,0.495,-288.148,0.7240989,0.0213435,-0.0120907,-0.6892597,8.843,4.611,-161.777
0.8603589,-0.0251068,0.0672816,0.5046043,-1.012,0.463,-288.115,0.7240364,0.0212765,-0.0120761,-0.6893277,8.835,4.604,-161.774
0.8610243,-0.0252225,0.0672593,0.5034651,-1.028,0.458,-288.166,0.7238689,0.0212418,-0.0120558,-0.689505,8.828,4.598,-161.771
0.8604317,-0.0251307,0.0672769,0.5044795,-1.01,0.456,-288.175,0.7240429,0.0213033,-0.0120841,-0.6893199,8.835,4.597,-161.779
0.8608421,-0.0251341,0.0673821,0.5037647,-1.046,0.453,-288.171,0.7245147,0.0212813,-0.0120803,-0.6888248,8.835,4.596,-161.779
0.8621795,-0.0254451,0.067064,0.5014992,-0.99,0.454,-288.166,0.7239955,0.0212873,-0.0120568,-0.6893707,8.832,4.593,-161.779
0.8629811,-0.0256338,0.0669841,0.5001196,-0.993,0.449,-288.142,0.7239614,0.0211589,-0.0120629,-0.6894104,8.82,4.58,-161.772
0.8623374,-0.0254024,0.0671826,0.5012139,-1.049,0.452,-288.113,0.7242626,0.0212442,-0.0120639,-0.6890913,8.828,4.585,-161.771
0.8617646,-0.0251359,0.0672737,0.5021993,-1.064,0.481,-288.125,0.7243329,0.0212514,-0.0120798,-0.6890169,8.829,4.583,-161.777
0.862694,-0.0252626,0.0670271,0.5006279,-1.036,0.502,-288.133,0.7240321,0.0213132,-0.012073,-0.6893312,8.835,4.585,-161.773
0.8621459,-0.0250642,0.0671465,0.5015652,-1.071,0.512,-288.17,0.7242564,0.0212372,-0.0120814,-0.6890978,8.827,4.576,-161.769
0.863611,-0.0252111,0.066828,0.4990736,-1.036,0.554,-288.117,0.7243123,0.0212278,-0.0120664,-0.6890395,8.824,4.575,-161.77
0.8631671,-0.0250813,0.0670379,0.4998193,-1.085,0.546,-288.131,0.7241473,0.0212292,-0.0120599,-0.689213,8.824,4.572,-161.774
0.8635251,-0.0252457,0.0668009,0.4992242,-1.028,0.539,-288.115,0.7243082,0.0212666,-0.0120381,-0.6890431,8.827,4.578,-161.773
0.8635944,-0.0249972,0.0671008,0.4990764,-1.105,0.566,-288.116,0.724245,0.0212682,-0.0120115,-0.6891099,8.824,4.58,-161.769
0.8626395,-0.0248208,0.0672555,0.5007132,-1.13,0.562,-288.133,0.7241264,0.0212144,-0.0120851,-0.689235,8.825,4.564,-161.763
0.8621301,-0.0250445,0.067137,0.5015945,-1.062,0.51,-288.105,0.7242479,0.0211867,-0.0120772,-0.6891083,8.82,4.564,-161.772
0.8630344,-0.0253202,0.0671225,0.5000251,-1.057,0.481,-288.09,0.7244198,0.0212823,-0.0120162,-0.6889257,8.824,4.579,-161.777
0.862469,-0.0252508,0.0670213,0.5010167,-1.018,0.488,-288.12,0.7242623,0.021329,-0.0120022,-0.6890901,8.825,4.582,-161.78
0.8615388,-0.0250856,0.0670369,0.5026207,-1.001,0.488,-288.126,0.7242204,0.0213506,-0.0120252,-0.6891331,8.829,4.581,-161.781
0.8622897,-0.0251549,0.0673002,0.5012927,-1.064,0.468,-288.125,0.72408,0.0214089,-0.0119653,-0.6892798,8.83,4.59,-161.777
0.8631927,-0.0254063,0.0673386,0.4997184,-1.082,0.445,-288.092,0.7242106,0.0214023,-0.0119824,-0.6891425,8.831,4.588,-161.773
0.8633611,-0.0254777,0.0671604,0.4994476,-1.052,0.451,-288.078,0.7241478,0.0213826,-0.0120101,-0.6892086,8.831,4.583,-161.773
0.8626936,-0.0253639,0.0672398,0.5005948,-1.061,0.452,-288.045,0.7243908,0.021411,-0.0120458,-0.6889517,8.836,4.584,-161.773
0.8632722,-0.0252213,0.0670248,0.4996326,-1.039,0.505,-288.053,0.7243939,0.0213917,-0.0120995,-0.6889481,8.837,4.575,-161.776
0.8636689,-0.0252212,0.066975,0.4989532,-1.034,0.505,-288.092,0.724195,0.021446,-0.0120415,-0.6891565,8.835,4.576,-161.778
0.864452,-0.0251524,0.0668503,0.4976154,-1.046,0.554,-288.086,0.7242439,0.0215073,-0.0120264,-0.6891035,8.84,4.575,-161.773
0.8638886,-0.0252486,0.0669065,0.4985804,-1.059,0.536,-288.068,0.7244993,0.0214209,-0.0120602,-0.688837,8.838,4.564,-161.77
0.8638905,-0.0254989,0.0667638,0.4985836,-1.01,0.517,-288.074,0.7242721,0.021474,-0.0119923,-0.6890754,8.837,4.57,-161.765
0.8627843,-0.0252754,0.0671224,0.5004587,-1.067,0.501,-288.114,0.7243202,0.0214493,-0.0120046,-0.6890255,8.837,4.563,-161.764
0.862007,-0.0250942,0.0670557,0.5018144,-1.027,0.51,-288.111,0.7245889,0.0213504,-0.0120448,-0.6887452,8.834,4.546,-161.763
0.8626811,-0.0250388,0.067037,0.50066,-1.038,0.522,-288.077,0.7241694,0.0214148,-0.0119352,-0.6891862,8.834,4.552,-161.769
0.8626239,-0.0252717,0.0669785,0.5007546,-0.998,0.486,-288.1,0.7244264,0.0214915,-0.0118522,-0.6889151,8.837,4.563,-161.763
